trial,fast_loading_rate,slow_loading_rate,fast_completed_clusters,slow_completed_clusters
52,0.3591879194715375,0.48514728165915955,0,0
53,0.3523139604055814,0.44633453912634735,0,0
54,0.3654129055292721,0.5101526848565463,0,0
55,0.3859385100328794,0.4733915105816777,0,0
56,0.37131620987285174,0.4169663294923964,0,0
57,0.34735658304052563,0.3827150143513869,0,0
58,0.389379297740966,0.5071534498508612,0,0
59,0.3562046012977049,0.4453400179116329,0,0
60,0.35463012653824677,0.3897376608645864,0,0
61,0.3776509957584828,0.547166257884868,0,0
62,0.35474297930804255,0.47240822837668617,0,0
63,0.37158210235777034,0.4937062506336076,0,0
64,0.3687781625489883,0.5642364988283077,0,0
65,0.3652998699035237,0.4638888446306666,0,0
66,0.34718477321860064,0.42894088376188577,0,0
67,0.36907926214624354,0.5436489225894015,0,0
68,0.3705390218491367,0.5129548415521157,0,0
69,0.3379627386514983,0.46992073152329894,0,0
70,0.33557852837340363,0.42143514606785004,0,0
71,0.36546147603644386,0.4865841366088475,0,0
72,0.3725166879182673,0.46512222770767053,0,0
73,0.35142464837623066,0.4383322410488333,0,0
74,0.37915236092178617,0.4389881396136275,1,1
75,0.36259397516502645,0.5276243337326569,0,0
76,0.34166616432340646,0.44407970744231307,0,0
77,0.37942891035935844,0.5303424879787855,0,0
78,0.36384011695034246,0.4601665312855552,0,0
79,0.37477095063476185,0.5360825970655014,0,0
80,0.369867578236871,0.5803785125770844,0,0
81,0.33649622107390087,0.38611466770532843,0,0
82,0.3523841985737519,0.4715853260615077,0,0
83,0.36252171326589533,0.532789243107068,0,0
84,0.36677152962738546,0.4912325966679454,0,0
85,0.3756235774163841,0.5131473096291472,0,0
86,0.3533631776342361,0.4717645116265601,0,0
87,0.36376512201830025,0.45912870750441925,0,0
88,0.35980896431908604,0.5230688947577278,0,0
89,0.3505766048919057,0.46530635255281894,0,0
90,0.35518514734445006,0.4649059138515099,0,0
91,0.3497755288837112,0.4760451526522047,0,0
92,0.3614306027595049,0.4909418687617517,0,0
93,0.345191597194372,0.4192706658088241,0,0
94,0.364830244009795,0.48196897905761205,0,0
95,0.35224878592066133,0.4232427241293024,0,0
