condition,time,terminal_displacement,sls_q,bound_clutches,total_traction,actin_velocity,loading_rate,phase
fast,3.74,3.0588498758632454,0.10311254849797988,10,1.6325374864295998,0.864003665929974,0.5814775892876156,loading
fast,3.7600000000000002,3.0749880431474246,0.10636243180794351,10,1.6438564533816562,0.8630580201687569,0.5526954067391898,loading
fast,3.7800000000000002,3.091160354474603,0.10906944311666086,10,1.6546496203539656,0.8621565758791194,0.5285309033986607,loading
fast,3.8000000000000003,3.1073591905722626,0.11132166034230578,10,1.665001255628431,0.8612922482836094,0.5082350317442419,loading
fast,3.8200000000000003,3.1235781698112106,0.1131928732426368,10,1.6749819581482388,0.8604591018423177,0.49118025605032756,loading
fast,3.84,3.1398119474316797,0.11474490126487433,10,1.6846508749807199,0.859652163821643,0.47684084043542185,loading
fast,3.86,3.1560560473393107,0.11602953538998245,10,1.6940575590596407,0.85886726810626,0.46477633476094127,loading
fast,3.88,3.172306721187489,0.11709016496765487,10,1.7032435255614042,0.8581009243481719,0.45461773946708917,loading
fast,3.9,3.1885608303195756,0.11796314064333208,10,1.7122435558031257,0.857350208342628,0.44605591466195804,loading
fast,3.92,3.2048157468626837,0.11867891618888345,10,1.7210867896202342,0.856612670187451,0.43883186964643883,loading
fast,3.94,3.221069270866188,0.11926300510353714,10,1.7297976405366304,0.855886257340914,0.4327286275973563,loading
fast,3.96,3.2373195608821597,0.11973678203337629,10,1.7383965624744606,0.855169250161297,0.4275644100242282,loading
fast,3.98,3.2535650758071863,0.12011815418320693,10,1.7469006920868035,0.8544602079033344,0.4231869268167543,loading
fast,4.0,3.2698045261586905,0.1204221238108182,10,1.7553243868901562,0.8537579234752032,0.4194685925940078,loading
fast,4.0200000000000005,3.2860368332552916,0.12066125947247143,10,1.763679676100114,0.8530613855349123,0.41630251906177307,loading
fast,4.04,3.302261095019009,0.12084609082214265,10,1.771976638331656,0.8523697467354878,0.41359915750938114,loading
fast,4.0600000000000005,3.318476557325093,0.12098543936575425,10,1.7802237180283047,0.8516822971214666,0.4112834859042458,loading
fast,4.08,3.3346825899995167,0.12108669555987618,10,1.7884279905596383,0.8509984418410665,0.4092926524368323,loading
fast,4.1,3.3508786667102193,0.12115605095902042,10,1.7965953843141347,0.8503176824739183,0.4075740011533213,loading
fast,4.12,3.367064348120417,0.12119869270358877,10,1.8047308667638018,0.8496396013878512,0.4060834180159567,loading
fast,4.14,3.383239267774819,0.12121896645766092,10,1.8128386003450703,0.8489638486333455,0.4047839452159252,loading
fast,4.16,3.3994031202753856,0.12122051291472433,10,1.8209220730524245,0.8482901309639901,0.40364462030595405,loading
fast,4.18,3.415555651375282,0.12120638215923467,10,1.8289842078468799,0.8476182026380533,0.40263950352015243,loading
fast,4.2,3.4316966496797523,0.12117912947621803,10,1.8370274543160896,0.8469478577122499,0.4017468630879151,loading
fast,4.22,3.4478259396933364,0.12114089561849098,10,1.845053865465165,0.8462789235856202,0.4009484926070783,loading
fast,4.24,3.463943375994962,0.12109347405280238,10,1.8530651620502847,0.845611255590731,0.40022913905657376,loading
fast,4.26,3.4800488383579626,0.12103836729717189,10,1.8610627864761553,0.8449447324623038,0.39957602380136237,loading
fast,4.28,3.496142227661741,0.12097683411910272,10,1.8690479479499822,0.844279252540929,0.3989784411295716,loading
fast,4.3,3.5122234624666593,0.1209099290772195,10,1.8770216603105472,0.8436147305926189,0.39842742197437886,loading
