time,radial_alignment,rms_bead_displacement,stretch_energy,bend_energy,max_bead_speed
4.2,0.40372380174829514,0.1197092282219595,0.02165422308987988,0.016651253039692244,0.08398513764269591
4.24,0.40477957470673126,0.12096186625851037,0.021751059125044533,0.017000069129792555,0.08395932269341677
4.28,0.4058356497171235,0.12221426493724499,0.021849197134828385,0.01735225140694271,0.08393216365452026
4.32,0.40689199537726095,0.12346641669950666,0.021948757961986077,0.01770778036120766,0.08390365758423839
4.36,0.4079485802837686,0.12471831393173886,0.022049861529028037,0.018066635960195976,0.08387380184461765
4.4,0.4090053730376161,0.12596994896818273,0.022152626836727786,0.01842879765117325,0.08384259410073978
4.44,0.4100623422497093,0.12722131409351214,0.022257171961741904,0.01879424436342928,0.08381003231989756
4.48,0.41111945654655846,0.12847240154541062,0.022363614053379034,0.01916295451089896,0.0837761147707206
4.5200000000000005,0.412176684576012,0.12972320351709415,0.022472069329562003,0.019534905995036184,0.08374084002224841
4.5600000000000005,0.4132339950130502,0.13097371215978035,0.022582653072027975,0.01991007620793879,0.08370420694294467
4.6000000000000005,0.41429135656563115,0.13222391958511046,0.022695479620801127,0.0202884420357251,0.08366621469965077
4.64,0.41534873798058014,0.1334738178675227,0.02281066236798336,0.020669979862158364,0.08362686275647228
4.68,0.4164061080495156,0.1347233990465829,0.022928313750899588,0.021054665572519848,0.0835861508736011
4.72,0.41746343561480886,0.1359726551292716,0.023048545244638244,0.021442474557726836,0.08354407910606285
4.76,0.41852068957556426,0.13722157809223165,0.023171467354024873,0.021833381718694214,0.08350064780239183
4.8,0.4195778388936194,0.1384701598839773,0.023297189605065906,0.022227361470937675,0.08345585760323171
4.84,0.42063485259955713,0.13971839242706638,0.023425820535900116,0.022624387749415144,0.08340970943985464
4.88,0.42169169979872234,0.14096626762023784,0.02355746768729658,0.023024434013604544,0.08336220453260294
4.92,0.4227483496772413,0.14221377734051507,0.023692237592732642,0.023427473252814572,0.08331334438924705
4.96,0.42380477150803186,0.1434609134452769,0.0238302357680866,0.023833477991725197,0.08326313080326214
5.0,0.4248609346568069,0.1447076677742975,0.02397156670098531,0.02424242029615508,0.08321156585201726
5.04,0.42591680858805936,0.14595403215175617,0.02411633383983317,0.02465427177905184,0.08315865189488215
5.08,0.42697236287102913,0.14719999838821782,0.024264639582563998,0.02506900360670197,0.08310439157124315
5.12,0.42802756718564194,0.14844555828258546,0.024416585265143786,0.02548658650515585,0.08304878779843529
5.16,0.42908239132841874,0.1496907036240251,0.024572271149858927,0.025906990766865104,0.08299184376958482
5.2,0.4301368052183501,0.1509354261938637,0.024731796413420878,0.026330186257525538,0.08293356295136368
5.24,0.431190778902732,0.15217971776746178,0.02489525913492123,0.026756142423124823,0.08287394908165518
5.28,0.4322442825629573,0.1534235701160602,0.02506275628366302,0.027184828297186738,0.0828130061671308
5.32,0.43329728652025934,0.1546669750086021,0.025234383706903153,0.027616212508209795,0.08275073848074008
5.36,0.43434976124140423,0.15590992421353028,0.02541023611753149,0.02805026328729433,0.08268715055911025
5.4,0.43540167734432755,0.15715240950056114,0.025590407081719606,0.02848694847595266,0.08262224719986033
5.44,0.43645300560371103,0.15839442264243464,0.025774989006561312,0.028926235534097813,0.08255603345882524
5.48,0.43750371695649576,0.1596359554166406,0.02596407312773805,0.029368091548205476,0.0824885146471971
5.5200000000000005,0.4385537825073307,0.1608769996071231,0.026157749497233422,0.02981248323964322,0.08241969632857814
5.5600000000000005,0.43960317353394923,0.16211754700596104,0.026356106971122166,0.03025937697316201,0.08234958431594946
5.6000000000000005,0.44065186149247254,0.16335758941502687,0.026559233197460133,0.030708738765543173,0.08227818466855844
5.64,0.4416998180226375,0.16459711864762241,0.026767214604297773,0.03116053429439683,0.08220550368872029
5.68,0.4427470149529449,0.16583612653009314,0.02698013638784394,0.03161472890710466,0.08213154791854212
5.72,0.44379342430572355,0.16707460490341944,0.027198082500802037,0.03207128762990009,0.0820563241365668
